Location,Year,VocalType,DeltaTime,Dur90,Freq5,Freq25,CenterFreq,Freq75,Freq95,BW50,BW90,PeakFreq,AvgPower,PeakPower,AggEntropy,RMSAmp,SNRNIST,Harmonics,Whoops/Bout
FFS,2021,GrowlWhoop,1.8233,1.4025,128.906,164.062,175.781,199.219,246.094,35.156,117.188,187.5,-90.68,-52.72,3.353,61.441,19.42,0,1
FFS,2021,Croak,0.2113,0.1454,128.906,164.062,269.531,281.25,351.562,117.188,222.656,281.25,-92.44,-59.88,4.388,49.534,17.97,0,
FFS,2021,Croak,0.4525,0.2566,128.906,164.062,187.5,187.5,328.125,23.438,199.219,187.5,-97.46,-60.59,3.559,28.138,22.92,0,
FFS,2021,Croak,0.2636,0.1283,140.625,199.219,210.938,234.375,292.969,35.156,152.344,222.656,-85.77,-51.34,3.752,108.229,22.7,0,
FFS,2021,Croak,0.2016,0.0941,164.062,199.219,210.938,222.656,269.531,23.438,105.469,210.938,-87.04,-49.22,2.971,92.182,20.91,0,
FFS,2021,Croak,0.3251,0.1967,128.906,187.5,199.219,304.688,398.438,117.188,269.531,187.5,-96.53,-61.91,4.416,31.367,18.82,0,
FFS,2021,Croak,0.3461,0.171,93.75,152.344,164.062,187.5,339.844,35.156,246.094,152.344,-85.38,-49.1,3.929,112.286,22.21,0,
FFS,2021,Croak,0.4087,0.2224,93.75,152.344,175.781,292.969,351.562,140.625,257.812,164.062,-91.04,-55.8,4.331,58.969,21.48,0,
FFS,2021,Croak,0.2931,0.1454,117.188,164.062,199.219,246.094,316.406,82.031,199.219,199.219,-90.69,-55.66,4.221,61.057,21.19,0,
FFS,2021,Croak,0.4954,0.2224,140.625,187.5,199.219,257.812,351.562,70.312,210.938,187.5,-89.53,-52.96,4.176,70.09,22.64,0,
FFS,2021,Croak,0.3172,0.171,140.625,175.781,187.5,269.531,363.281,93.75,222.656,187.5,-95.43,-60.04,4.095,35.489,23.83,0,
FFS,2021,Croak,0.2658,0.1454,117.188,175.781,187.5,199.219,304.688,23.438,187.5,187.5,-97.28,-61.86,3.753,28.673,21.35,0,
FFS,2021,Croak,0.2967,0.1454,152.344,210.938,257.812,304.688,398.438,93.75,246.094,269.531,-90.31,-54.58,4.373,64.265,20.32,0,
FFS,2021,Croak,0.1689,0.0941,152.344,175.781,187.5,210.938,257.812,35.156,105.469,199.219,-96.87,-61.46,3.451,30.335,22.58,0,
FFS,2021,Croak,0.3144,0.2052,117.188,164.062,187.5,269.531,410.156,105.469,292.969,187.5,-100.06,-65.9,4.584,20.648,21.58,0,
FFS,2021,Croak,0.2437,0.1197,140.625,187.5,210.938,257.812,316.406,70.312,175.781,187.5,-84.32,-49.23,4.007,128.665,20.43,0,
FFS,2021,Croak,0.1629,0.0941,117.188,164.062,175.781,210.938,363.281,46.875,246.094,164.062,-91.62,-57.71,4.155,55.01,18.79,0,
FFS,2021,Croak,0.171,0.0684,175.781,199.219,199.219,210.938,304.688,11.719,128.906,199.219,-88.14,-50.4,3.077,82.214,21.85,0,
FFS,2021,Croak,0.2091,0.1026,58.594,164.062,187.5,199.219,351.562,35.156,292.969,187.5,-91.53,-56.33,4.047,56.238,20.27,0,
FFS,2021,Croak,0.2276,0.1283,70.312,175.781,199.219,222.656,363.281,46.875,292.969,199.219,-92.22,-57.92,4.336,50.809,17.83,0,
FFS,2021,Croak,0.2223,0.0941,152.344,175.781,199.219,246.094,304.688,70.312,152.344,234.375,-89.86,-55.82,3.775,67.429,20.76,0,
FFS,2021,Growl,5.3849,3.284,23.438,140.625,222.656,257.812,375,117.188,351.562,257.812,-97.85,-58.46,4.865,26.882,17.9,0,
