Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:05,HMS,Growl,7/23/2021 11:45:58.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:05,HMS,Croak,7/23/2021 11:46:01.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:06,HMS,Croak,7/23/2021 11:46:03.0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:06,HMS,Croak,7/23/2021 11:46:06.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:06,HMS,Growl,7/23/2021 11:46:07.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:07,HMS,Croak,7/23/2021 11:46:09.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:07,HMS,Growl,7/23/2021 11:46:11.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:08,HMS,Croak,7/23/2021 11:46:17.0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:08,Anthro,Ship/Small Boat,7/23/2021 11:46:23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:09,Anthro,Ship/Small Boat,7/23/2021 11:46:51.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:09,Other,Other,7/23/2021 11:46:53.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:10,HMS,Growl,7/23/2021 11:50:49.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:10,HMS,Croak,7/23/2021 11:50:54.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:11,HMS,Growl,7/23/2021 11:50:55.5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:11,HMS,Growl,7/23/2021 11:51:00.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:11,HMS,Whoop,7/23/2021 11:51:07.8,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:11,HMS,Growl,7/23/2021 11:52:21.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:12,HMS,Croak,7/23/2021 11:52:29.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:12,HMS,Growl,7/23/2021 11:52:36.0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:12,HMS,Croak,7/23/2021 11:52:37.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:12,HMS,Growl,7/23/2021 11:52:39.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:12,HMS,Croak,7/23/2021 11:52:44.6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:13,HMS,Growl,7/23/2021 11:52:59.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:13,HMS,Growl,7/23/2021 11:53:58.3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:14,HMS,Croak,7/23/2021 11:54:15.2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:14,HMS,Croak,7/23/2021 11:54:16.4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:14,HMS,Growl,7/23/2021 11:54:18.0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:14,HMS,Croak,7/23/2021 11:54:24.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:14,HMS,Growl,7/23/2021 11:54:26.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
E:\2021 NWHI\FFS\5642\5642.210723095650.wav,10/26/21 16:15,HMS,Growl,7/23/2021 11:54:38.9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-07-23,23.8664,-166.288683,Day
