Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 11:24,Other,Other,5/10/2021 8:49:53.7,NA,NA,NA,NA,NA,NA,NA,Deployment,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 11:28,Other,Other,5/10/2021 8:43:58.3,NA,NA,NA,NA,NA,NA,NA,In-Air Timestamp at 8:44:00,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 11:50,Anthro,Ship/Small Boat,5/10/2021 9:02:59.5,5/10/2021 9:07:32.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:01,HMS,Moan,5/10/2021 9:08:42.7,5/10/2021 9:08:43.5,2,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:02,HMS,Growl,5/10/2021 9:08:43.5,5/10/2021 9:08:45.7,2,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:09,HMS,Growl,5/10/2021 9:11:57.7,5/10/2021 9:12:00.3,1,NA,NA,NA,NA,NA,far away seal,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:11,HMS,Croak,5/10/2021 9:12:01.5,5/10/2021 9:12:02.0,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:11,HMS,Growl,5/10/2021 9:12:02.5,5/10/2021 9:12:04.0,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:12,HMS,Croak,5/10/2021 9:12:06.1,5/10/2021 9:12:06.6,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:12,HMS,Growl,5/10/2021 9:12:07.0,5/10/2021 9:12:08.4,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
C:\Users\mmrph\OneDrive\Desktop\Intern\LehuaRock_Wavfiles\20210510\210510080943.wav,6/22/22 12:13,HMS,Croak,5/10/2021 9:12:08.8,5/10/2021 9:12:09.3,1,NA,NA,NA,NA,NA,NA,NA,NA,2021-05-10,22.014683,-160.103233,Day
