Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:04,HMS,Growl,8/8/2021 13:00:06.1,NA,3,NA,NA,NA,NA,NA,NA,Hawaiian Monk Seal-NWHI2021PHR-20210808T130006.jpg,Hawaiian Monk Seal-NWHI2021PHR-20210808T130006.x.wav,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:04,HMS,Croak,8/8/2021 13:00:09.9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:20,HMS,Growl,8/8/2021 13:00:11.4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:20,HMS,Whoop,8/8/2021 13:00:15.2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:20,HMS,Whoop,8/8/2021 13:00:15.2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:20,HMS,Whoop,8/8/2021 13:00:17.7,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:21,HMS,Croak,8/8/2021 13:00:18.7,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:21,HMS,Growl,8/8/2021 13:00:19.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:22,HMS,Whoop,8/8/2021 13:00:24.6,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
C:\Users\mmrph\Desktop\author's Interns\PHR_wavfiles\WAVfiles\5643.210808103815.wav,11/3/21 14:22,HMS,Croak,8/8/2021 13:00:24.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-08,27.79205,-175.819217,Day
