Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio,date,lat,lon,DayNight
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_095947.wav,2/14/23 10:43,HMS,Unknown,7/22/2020 11:18:52.7,7/22/2020 11:18:54.2,NA,NA,NA,NA,NA,NA,author start of going through all data,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:52,HMS,Growl,7/22/2020 15:40:20.9,7/22/2020 15:40:25.3,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:52,HMS,Growl,7/22/2020 15:40:26.1,7/22/2020 15:40:29.8,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:52,HMS,Croak,7/22/2020 15:40:32.7,7/22/2020 15:40:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:53,HMS,Growl,7/22/2020 15:40:36.1,7/22/2020 15:40:37.2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:53,HMS,Growl,7/22/2020 15:40:39.3,7/22/2020 15:40:42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
E:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_125946.wav,2/14/23 10:53,HMS,Whoop,7/22/2020 15:40:43.1,7/22/2020 15:40:43.1,1,2,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_214304.wav,2/15/23 11:44,Anthro,Airplane,7/22/2020 23:31:55.5,7/22/2020 23:32:05.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-22,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200722\20200722_214304.wav,2/15/23 11:46,HMS,Unknown,7/23/2020 0:29:01.5,7/23/2020 0:29:02.8,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/22/2020,NA,NA,2020-07-23,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200723\20200723_031526.wav,2/15/23 11:54,Anthro,Airplane,7/23/2020 5:25:24.7,7/23/2020 5:25:32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-23,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200723\20200723_232837.wav,2/15/23 13:07,HMS,Unknown,7/24/2020 2:12:35.0,7/24/2020 2:12:36.3,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/23/2020,NA,NA,2020-07-24,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200724\20200724_050147.wav,2/15/23 13:15,Anthro,Airplane,7/24/2020 7:19:42.0,7/24/2020 7:19:50.0,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-24,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200724\20200724_105222.wav,2/15/23 13:21,Anthro,Airplane,7/24/2020 11:02:47.6,7/24/2020 11:02:55.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-24,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200724\20200724_135221.wav,2/15/23 13:30,Anthro,Airplane,7/24/2020 16:47:45.4,7/24/2020 16:48:00.6,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-24,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200724\20200724_194414.wav,2/15/23 13:37,Anthro,Airplane,7/24/2020 20:47:48.2,7/24/2020 20:48:03.5,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-24,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200724\20200724_222912.wav,2/15/23 13:44,HMS,Unknown,7/25/2020 1:14:09.0,7/25/2020 1:14:11.5,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/24/2020,NA,NA,2020-07-25,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200725\20200725_212823.wav,2/15/23 14:24,HMS,Unknown,7/26/2020 0:13:20.1,7/26/2020 0:13:20.9,NA,NA,NA,NA,NA,NA,No HMS vocalizations 07/25/2020,NA,NA,2020-07-26,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200726\20200726_232215.wav,2/21/23 10:02,HMS,Unknown,7/27/2020 2:12:12.6,7/27/2020 2:12:13.6,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/26/2020,NA,NA,2020-07-27,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200727\20200727_165532.wav,2/21/23 10:33,Anthro,Airplane,7/27/2020 17:52:32.6,7/27/2020 17:52:39.9,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-27,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200727\20200727_223619.wav,2/21/23 10:53,HMS,Unknown,7/28/2020 1:22:17.3,7/28/2020 1:22:18.0,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/27/2020,NA,NA,2020-07-28,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200728\20200728_214332.wav,2/22/23 8:09,HMS,Unknown,7/29/2020 0:29:46.9,7/29/2020 0:29:48.6,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/28/2020,NA,NA,2020-07-29,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_060519.wav,2/22/23 8:20,Anthro,Airplane,7/29/2020 7:02:40.3,7/29/2020 7:02:48.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:40,HMS,Growl,7/29/2020 18:30:01.1,7/29/2020 18:30:05.7,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:40,HMS,Whoop,7/29/2020 18:30:07.0,7/29/2020 18:30:07.1,1,1,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:41,HMS,Croak,7/29/2020 18:30:08.4,7/29/2020 18:30:08.8,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:41,HMS,Growl,7/29/2020 18:30:10.1,7/29/2020 18:30:13.3,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:41,HMS,Growl,7/29/2020 18:30:15.7,7/29/2020 18:30:16.2,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:42,HMS,Whoop,7/29/2020 18:30:18.2,7/29/2020 18:30:18.3,1,1,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:44,HMS,Growl,7/29/2020 18:32:03.7,7/29/2020 18:32:07.1,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:44,HMS,Croak,7/29/2020 18:32:08.1,7/29/2020 18:32:08.3,2,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:44,HMS,Growl,7/29/2020 18:32:12.9,7/29/2020 18:32:13.2,2,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:44,HMS,Growl,7/29/2020 18:32:14.4,7/29/2020 18:32:16.1,2,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:44,HMS,Growl,7/29/2020 18:32:17.2,7/29/2020 18:32:19.7,1,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_180125.wav,2/22/23 8:45,HMS,Whoop,7/29/2020 18:32:20.1,7/29/2020 18:32:20.2,1,1,NA,NA,NA,NA,NA,NA,NA,2020-07-29,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200729\20200729_204827.wav,2/22/23 8:53,Anthro,Airplane,7/29/2020 23:07:35.0,7/29/2020 23:07:57.5,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-29,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200730\20200730_195134.wav,2/22/23 9:35,Anthro,Airplane,7/30/2020 20:08:22.3,7/30/2020 20:08:36.8,NA,NA,NA,NA,NA,NA,propeller,NA,NA,2020-07-30,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200730\20200730_223829.wav,2/22/23 9:44,HMS,Unknown,7/31/2020 1:25:25.6,7/31/2020 1:25:26.6,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/30/2020,NA,NA,2020-07-31,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200731\20200731_100310.wav,2/22/23 10:18,Anthro,Airplane,7/31/2020 10:44:24.3,7/31/2020 10:44:39.4,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-07-31,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200731\20200731_214620.wav,2/22/23 10:39,HMS,Unknown,8/1/2020 0:34:16.7,8/1/2020 0:34:18.1,NA,NA,NA,NA,NA,NA,No HMS vocalizations 7/31/2020,NA,NA,2020-08-01,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_061037.wav,2/22/23 10:59,Anthro,Airplane,8/1/2020 7:46:15.8,8/1/2020 7:46:28.3,NA,NA,NA,NA,NA,NA,Propeller?,NA,NA,2020-08-01,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_061037.wav,2/22/23 10:59,Anthro,Airplane,8/1/2020 7:58:22.5,8/1/2020 7:58:35.0,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-01,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_150739.wav,2/27/23 8:10,Anthro,Airplane,8/1/2020 16:00:00.5,8/1/2020 16:00:09.3,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-01,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_150739.wav,2/27/23 8:13,Anthro,Airplane,8/1/2020 17:39:43.9,8/1/2020 17:39:55.7,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-01,21.32505,-157.6604,Day
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200801\20200801_234107.wav,2/27/23 8:33,HMS,Unknown,8/2/2020 2:29:04.8,8/2/2020 2:29:05.8,NA,NA,NA,NA,NA,NA,No HMS vocalizations 8/01/2020,NA,NA,2020-08-02,21.32505,-157.6604,Night
G:\2020RabbitIsland_SoundTrapData\ST008_5641\ST008_5641_LTSA_wav\20200802\20200802_080920.wav,2/27/23 9:44,Anthro,Airplane,8/2/2020 10:30:02.1,8/2/2020 10:30:12.2,NA,NA,NA,NA,NA,NA,propeller?,NA,NA,2020-08-02,21.32505,-157.6604,Day
