Hour,Date,Location
13,8/8/21,PHR
14,8/8/21,PHR
15,8/8/21,PHR
16,8/8/21,PHR
17,8/8/21,PHR
18,8/8/21,PHR
19,8/8/21,PHR
20,8/8/21,PHR
21,8/8/21,PHR
22,8/8/21,PHR
23,8/8/21,PHR
0,8/9/21,PHR
1,8/9/21,PHR
2,8/9/21,PHR
3,8/9/21,PHR
4,8/9/21,PHR
5,8/9/21,PHR
6,8/9/21,PHR
7,8/9/21,PHR
8,8/9/21,PHR
9,8/9/21,PHR
10,8/9/21,PHR
11,8/9/21,PHR
12,8/9/21,PHR
13,8/9/21,PHR
14,8/9/21,PHR
15,8/9/21,PHR
16,8/9/21,PHR
17,8/9/21,PHR
18,8/9/21,PHR
19,8/9/21,PHR
20,8/9/21,PHR
21,8/9/21,PHR
22,8/9/21,PHR
23,8/9/21,PHR
0,8/12/21,PHR
1,8/12/21,PHR
2,8/12/21,PHR
3,8/12/21,PHR
4,8/12/21,PHR
5,8/12/21,PHR
6,8/12/21,PHR
7,8/12/21,PHR
8,8/12/21,PHR
9,8/12/21,PHR
10,8/12/21,PHR
11,8/12/21,PHR
12,8/12/21,PHR
13,8/12/21,PHR
14,8/12/21,PHR
15,8/12/21,PHR
16,8/12/21,PHR
17,8/12/21,PHR
18,8/12/21,PHR
19,8/12/21,PHR
20,8/12/21,PHR
21,8/12/21,PHR
22,8/12/21,PHR
23,8/12/21,PHR
0,8/14/21,PHR
1,8/14/21,PHR
2,8/14/21,PHR
3,8/14/21,PHR
4,8/14/21,PHR
5,8/14/21,PHR
6,8/14/21,PHR
7,8/14/21,PHR
8,8/14/21,PHR
9,8/14/21,PHR
10,8/14/21,PHR
11,8/14/21,PHR
12,8/14/21,PHR
13,8/14/21,PHR
14,8/14/21,PHR
15,8/14/21,PHR
16,8/14/21,PHR
17,8/14/21,PHR
18,8/14/21,PHR
19,8/14/21,PHR
20,8/14/21,PHR
21,8/14/21,PHR
22,8/14/21,PHR
23,8/14/21,PHR
0,8/16/21,PHR
1,8/16/21,PHR
2,8/16/21,PHR
3,8/16/21,PHR
4,8/16/21,PHR
5,8/16/21,PHR
6,8/16/21,PHR
7,8/16/21,PHR
8,8/16/21,PHR
9,8/16/21,PHR
10,8/16/21,PHR
11,8/16/21,PHR
12,8/16/21,PHR
13,8/16/21,PHR
14,8/16/21,PHR
15,8/16/21,PHR
16,8/16/21,PHR
17,8/16/21,PHR
18,8/16/21,PHR
19,8/16/21,PHR
20,8/16/21,PHR
21,8/16/21,PHR
22,8/16/21,PHR
23,8/16/21,PHR
0,8/19/21,PHR
1,8/19/21,PHR
2,8/19/21,PHR
3,8/19/21,PHR
4,8/19/21,PHR
5,8/19/21,PHR
6,8/19/21,PHR
7,8/19/21,PHR
8,8/19/21,PHR
9,8/19/21,PHR
10,8/19/21,PHR
11,8/19/21,PHR
12,8/19/21,PHR
13,8/19/21,PHR
14,8/19/21,PHR
15,8/19/21,PHR
16,8/19/21,PHR
17,8/19/21,PHR
18,8/19/21,PHR
19,8/19/21,PHR
20,8/19/21,PHR
21,8/19/21,PHR
22,8/19/21,PHR
23,8/19/21,PHR
0,8/21/21,PHR
1,8/21/21,PHR
2,8/21/21,PHR
3,8/21/21,PHR
4,8/21/21,PHR
5,8/21/21,PHR
6,8/21/21,PHR
7,8/21/21,PHR
8,8/21/21,PHR
9,8/21/21,PHR
10,8/21/21,PHR
11,8/21/21,PHR
12,8/21/21,PHR
13,8/21/21,PHR
14,8/21/21,PHR
15,8/21/21,PHR
16,8/21/21,PHR
17,8/21/21,PHR
18,8/21/21,PHR
19,8/21/21,PHR
20,8/21/21,PHR
21,8/21/21,PHR
22,8/21/21,PHR
23,8/21/21,PHR
0,8/23/21,PHR
1,8/23/21,PHR
2,8/23/21,PHR
3,8/23/21,PHR
4,8/23/21,PHR
5,8/23/21,PHR
6,8/23/21,PHR
7,8/23/21,PHR
8,8/23/21,PHR
9,8/23/21,PHR
10,8/23/21,PHR
11,8/23/21,PHR
12,8/23/21,PHR
13,8/23/21,PHR
14,8/23/21,PHR
15,8/23/21,PHR
16,8/23/21,PHR
17,8/23/21,PHR
18,8/23/21,PHR
19,8/23/21,PHR
20,8/23/21,PHR
21,8/23/21,PHR
22,8/23/21,PHR
23,8/23/21,PHR
0,8/26/21,PHR
